Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Heat-Strengthened,10,1.86,3.04,0.61,2.59,0.2,2,1.3,0.853,6.07,0.93
Fully Tempered,8,1.62,3.01,0.54,1.63,0.14,4,3,0.604,10.79,0.31
Laminated,16,4.16,2.21,1.88,0.52,0.37,3.8,2.85,0.808,2.45,0.72
Heat-Strengthened,8,4.12,4.49,0.92,1.6,3.92,2,1.3,0.54,5.93,0.83
Laminated,5,3.13,4.8,0.65,1.64,5.13,3.8,2.85,0.399,15.62,0.93
Annealed,19,3.42,4.41,0.78,0.97,0.09,1,0.43,0.859,1.13,0.31
Laminated,5,3.68,2.76,1.33,2.13,22.12,3.8,2.85,0.58,13.96,0.43
Annealed,6,3.95,2.29,1.72,1.91,20.41,1,0.43,0.557,3.43,0.93
Heat-Strengthened,4,4.73,2.71,1.75,1.61,100.87,2,1.3,0.826,3.9,1
Fully Tempered,16,4.17,3.02,1.38,0.89,0.43,4,3,0.716,4.97,1
Fully Tempered,19,4.4,2.7,1.63,2.48,1.09,4,3,0.891,11.13,0.93
Heat-Strengthened,19,3.66,1.12,3.27,2.82,1.43,2,1.3,0.78,7.23,0.36
Annealed,16,2.64,4.16,0.63,1.62,0.09,1,0.43,0.767,2.11,0.83
Heat-Strengthened,19,2.01,1.37,1.47,2.74,0.09,2,1.3,0.718,7.63,0.64
Laminated,4,1.32,3.86,0.34,2.96,0.71,3.8,2.85,0.55,20.45,0.64
Laminated,19,2.72,1.33,2.05,2.92,0.38,3.8,2.85,0.702,15.81,0.55
Heat-Strengthened,8,4.32,2.02,2.14,2.99,21.86,2,1.3,0.355,16.85,1
Laminated,8,2.41,1.77,1.36,2.51,1.83,3.8,2.85,0.426,22.39,0.64
Fully Tempered,12,4.81,2.01,2.39,1.1,3.68,4,3,0.707,6.22,0.55
Annealed,12,4.2,4.76,0.88,2.06,1.52,1,0.43,0.759,2.71,0.72
Laminated,16,1.91,1.56,1.22,1.7,0.07,3.8,2.85,0.85,7.6,0.93
Heat-Strengthened,16,1.33,3.88,0.34,1.54,0.01,2,1.3,0.812,3.79,0.36
Heat-Strengthened,8,2.56,2.51,1.02,1.03,0.67,2,1.3,0.567,3.63,0.83
Annealed,8,2.32,3.39,0.68,2.9,0.95,1,0.43,0.501,5.79,0.64
Annealed,8,4.35,3.03,1.44,1.14,5.14,1,0.43,0.54,2.11,0.83
Fully Tempered,8,3.65,2.79,1.31,1.61,3.91,4,3,0.797,8.08,0.83
Fully Tempered,5,1.91,1.24,1.54,1.09,2.03,4,3,0.863,5.05,0.43
Laminated,10,4.43,1.29,3.43,1.34,8.69,3.8,2.85,0.819,6.22,1
Laminated,12,1.74,2.36,0.74,2.21,0.1,3.8,2.85,0.865,9.71,0.31
Annealed,6,4.6,1.07,4.3,2,84.11,1,0.43,0.595,3.36,1
Laminated,16,3.15,1.89,1.67,2.84,0.78,3.8,2.85,0.755,14.29,0.64
Annealed,10,2.71,4.47,0.61,2.8,0.66,1,0.43,0.846,3.31,0.31
Annealed,4,4.12,2.26,1.82,1.68,72.65,1,0.43,0.872,1.93,0.83
Laminated,8,2.95,4.22,0.7,0.7,0.48,3.8,2.85,0.87,3.06,0.64
Fully Tempered,12,2.29,4.86,0.47,2.34,0.15,4,3,0.771,12.14,0.36
Fully Tempered,4,3.71,4.81,0.77,2.94,35.35,4,3,0.527,22.31,0.64
Annealed,5,1.67,3.94,0.42,0.92,0.28,1,0.43,0.725,1.27,0.72
Annealed,8,2.99,4.28,0.7,1.1,0.78,1,0.43,0.861,1.28,0.31
Laminated,16,3.35,1.23,2.72,1.21,0.66,3.8,2.85,0.865,5.32,0.64
Laminated,12,3.67,1.97,1.86,2.74,3.17,3.8,2.85,0.728,14.3,0.93
Laminated,12,4.73,4.71,1,0.55,0.66,3.8,2.85,0.868,2.41,0.55
Heat-Strengthened,19,1.07,4.99,0.21,1.89,0,2,1.3,0.88,4.3,0.64
Laminated,19,3.03,3.68,0.82,0.93,0.06,3.8,2.85,0.876,4.03,0.43
Fully Tempered,8,1.59,4.54,0.35,1.98,0.11,4,3,0.58,13.66,0.36
Fully Tempered,10,1.34,2.22,0.6,1.32,0.04,4,3,0.755,6.99,1
Laminated,5,3.32,2.53,1.31,2.74,20.57,3.8,2.85,0.825,12.62,0.31
Annealed,16,3.85,2.93,1.31,2.58,0.92,1,0.43,0.89,2.9,0.83
Laminated,19,1.26,1.87,0.67,2.61,0.01,3.8,2.85,0.9,11.02,0.72
Heat-Strengthened,12,2.58,4.73,0.55,1.32,0.14,2,1.3,0.895,2.95,0.43
Laminated,5,4.53,1.12,4.04,0.82,53.55,3.8,2.85,0.682,4.57,0.64
Laminated,19,1.86,2.18,0.85,1.21,0.02,3.8,2.85,0.796,5.78,0.83
Annealed,5,1.05,2.41,0.44,0.89,0.07,1,0.43,0.441,2.02,1
Fully Tempered,5,2.92,2.32,1.26,2.98,14.6,4,3,0.319,37.37,0.83
Heat-Strengthened,10,3.68,1.88,1.96,2.7,5.72,2,1.3,0.732,7.38,0.36
Laminated,6,3.78,3.21,1.18,2.38,13.69,3.8,2.85,0.434,20.84,0.31
Annealed,6,4.45,3.62,1.23,1.38,13.52,1,0.43,0.657,2.1,0.36
Heat-Strengthened,6,4.46,4.82,0.93,0.68,5.05,2,1.3,0.86,1.58,0.83
Laminated,19,4.98,3,1.66,0.71,0.46,3.8,2.85,0.829,3.25,0.83
Fully Tempered,5,1,2.63,0.38,1.9,0.11,4,3,0.846,8.98,0.36
Laminated,16,2.4,3.03,0.79,2.03,0.11,3.8,2.85,0.869,8.88,0.43
Heat-Strengthened,10,4.02,4.14,0.97,0.72,0.89,2,1.3,0.826,1.74,0.72
Annealed,4,3.8,2.02,1.88,1.75,61.28,1,0.43,0.588,2.98,1
Fully Tempered,12,3.2,3.75,0.85,1.14,0.36,4,3,0.714,6.39,1
Fully Tempered,6,1.89,2.54,0.74,0.59,0.27,4,3,0.329,7.17,1
Fully Tempered,5,4,4.39,0.91,0.83,7.57,4,3,0.75,4.43,0.55
Fully Tempered,4,3.63,3.75,0.97,1.41,19.93,4,3,0.804,7.01,0.93
Laminated,6,2.1,3.72,0.56,0.66,0.31,3.8,2.85,0.392,6.4,0.72
Heat-Strengthened,12,2.01,4.18,0.48,2.73,0.12,2,1.3,0.864,6.32,0.64
Heat-Strengthened,5,4.32,1.83,2.36,0.96,31.73,2,1.3,0.883,2.17,0.72
Laminated,10,4.11,2.55,1.61,2.97,7.21,3.8,2.85,0.89,12.68,0.93
Annealed,19,1.86,1.04,1.79,2.49,0.09,1,0.43,0.803,3.1,0.55
Laminated,16,1.6,4.36,0.37,0.81,0.01,3.8,2.85,0.765,4.02,0.31
Laminated,8,4.83,1.49,3.24,0.7,10.84,3.8,2.85,0.306,8.69,0.43
Heat-Strengthened,19,1.71,4.66,0.37,0.52,0,2,1.3,0.798,1.3,0.43
Laminated,6,2.59,1.15,2.25,2.23,8.77,3.8,2.85,0.821,10.32,0.43
Annealed,16,2.05,2.19,0.94,2.95,0.11,1,0.43,0.838,3.52,0.93
Laminated,5,1.03,4.02,0.26,0.94,0.04,3.8,2.85,0.499,7.16,0.93
Annealed,5,3.55,3.58,0.99,2.96,20.53,1,0.43,0.771,3.84,0.55
Heat-Strengthened,6,1.61,4.43,0.36,1.22,0.17,2,1.3,0.617,3.95,0.64
Laminated,8,3.76,2.6,1.45,1.66,4.87,3.8,2.85,0.604,10.44,0.83
Annealed,12,3.07,2.79,1.1,1.04,0.37,1,0.43,0.891,1.17,0.55
Fully Tempered,19,3.95,2.18,1.81,0.84,0.3,4,3,0.877,3.83,0.83
Heat-Strengthened,12,1.24,3.09,0.4,1.88,0.02,2,1.3,0.754,4.99,1
Laminated,12,4.4,4.08,1.08,1.97,2.05,3.8,2.85,0.802,9.33,0.36
Laminated,19,1.68,3.79,0.44,2.49,0.01,3.8,2.85,0.714,13.25,0.64
Annealed,12,1.61,1.3,1.24,1.5,0.09,1,0.43,0.899,1.67,0.31
Heat-Strengthened,16,1.5,1.84,0.82,0.89,0.01,2,1.3,0.76,2.34,0.31
Annealed,16,1.49,4.17,0.36,2.31,0.01,1,0.43,0.757,3.05,0.93
Laminated,4,3.45,1.93,1.79,1.43,35.61,3.8,2.85,0.664,8.18,0.36
Heat-Strengthened,6,1.66,4.39,0.38,2.87,0.45,2,1.3,0.519,11.06,0.64
Annealed,16,1.58,3.6,0.44,2.07,0.02,1,0.43,0.725,2.86,0.36
Annealed,16,1.9,3.27,0.58,1.42,0.03,1,0.43,0.899,1.58,0.36
Annealed,19,3,2.99,1,1.3,0.1,1,0.43,0.721,1.8,0.83
Fully Tempered,8,4.74,3.2,1.48,0.91,5.48,4,3,0.438,8.31,1
Laminated,8,2.35,3.44,0.68,2.68,0.91,3.8,2.85,0.788,12.92,0.93
Annealed,19,3.08,2,1.54,1.26,0.18,1,0.43,0.745,1.69,0.43
Fully Tempered,8,1.07,4.11,0.26,0.97,0.01,4,3,0.646,6.01,0.64
Heat-Strengthened,6,3,3.34,0.9,2.66,5.84,2,1.3,0.687,7.74,0.43
Fully Tempered,4,2.76,2.03,1.36,1.8,15.71,4,3,0.695,10.36,0.93
Laminated,12,1.55,3.77,0.41,0.87,0.02,3.8,2.85,0.854,3.87,1
Heat-Strengthened,8,3.38,3.45,0.98,0.81,1.17,2,1.3,0.301,5.38,0.72
Fully Tempered,6,1.6,3.5,0.46,1.59,0.27,4,3,0.372,17.1,1
Heat-Strengthened,16,3.6,3.72,0.97,2.17,0.47,2,1.3,0.712,6.1,0.36
Laminated,6,1.17,1.07,1.09,1.06,0.17,3.8,2.85,0.506,7.96,0.72
Heat-Strengthened,12,4.02,3.98,1.01,1.26,0.93,2,1.3,0.859,2.93,0.31
Laminated,4,1.17,1.92,0.61,2.23,0.66,3.8,2.85,0.69,12.28,0.31
Fully Tempered,4,3.14,2.87,1.09,0.97,10.03,4,3,0.716,5.42,0.43
Fully Tempered,12,2.44,1.25,1.95,0.79,0.28,4,3,0.775,4.08,0.93
Laminated,4,2.97,2.29,1.3,2.04,21.16,3.8,2.85,0.889,8.72,0.55
Fully Tempered,8,4.21,3.93,1.07,1.64,5,4,3,0.345,19.01,0.36
Fully Tempered,16,4.05,2.72,1.49,2.98,1.41,4,3,0.891,13.38,0.31
Fully Tempered,10,3.47,4.8,0.72,1.31,0.77,4,3,0.761,6.89,0.55
Fully Tempered,5,2.87,3.88,0.74,1.34,3.66,4,3,0.48,11.17,0.72
Laminated,5,4.63,2.67,1.73,2.85,85.19,3.8,2.85,0.898,12.06,1
Annealed,10,2.75,3.32,0.83,0.92,0.31,1,0.43,0.794,1.16,0.72
Heat-Strengthened,6,3.14,4.54,0.69,2.12,4.11,2,1.3,0.662,6.4,0.31
Fully Tempered,4,4.1,2.05,2,1.74,81.36,4,3,0.9,7.73,0.31
Laminated,12,1.21,4.55,0.27,1.55,0.01,3.8,2.85,0.706,8.34,0.31
Heat-Strengthened,5,1.3,3.17,0.41,1.11,0.16,2,1.3,0.885,2.51,0.93
Heat-Strengthened,19,4.99,2.4,2.08,1.53,1.25,2,1.3,0.875,3.5,0.72
Heat-Strengthened,8,4.22,4.43,0.95,1.13,3.09,2,1.3,0.643,3.51,0.43
Heat-Strengthened,12,2.34,2.05,1.14,1.06,0.18,2,1.3,0.814,2.6,0.72
Fully Tempered,12,1.51,4.27,0.35,1.85,0.03,4,3,0.796,9.3,0.83
Heat-Strengthened,10,4.2,2.19,1.92,1.8,5.55,2,1.3,0.703,5.12,0.55
Laminated,10,2.28,3.88,0.59,2.28,0.31,3.8,2.85,0.789,10.98,0.36
Fully Tempered,6,4.2,1.33,3.16,0.52,12.23,4,3,0.618,3.37,0.64
Laminated,10,4.06,2.1,1.93,2.88,8.09,3.8,2.85,0.728,15.03,0.72
Fully Tempered,8,4.65,4.44,1.05,0.9,3.62,4,3,0.472,7.63,0.36
Laminated,10,2.48,4.24,0.58,1.59,0.28,3.8,2.85,0.787,7.68,0.93
Laminated,4,3.73,3.41,1.09,2.58,44.71,3.8,2.85,0.512,19.15,1
Annealed,5,3.57,4.47,0.8,0.93,5.28,1,0.43,0.464,2,0.55
Laminated,5,3.4,3.45,0.99,2.01,12.17,3.8,2.85,0.67,11.4,1
Heat-Strengthened,5,4.91,4.75,1.03,1.02,19.51,2,1.3,0.758,2.69,1
Annealed,10,1.19,1.9,0.63,1.62,0.03,1,0.43,0.88,1.84,0.93
Laminated,12,1.75,1.18,1.48,2.91,0.26,3.8,2.85,0.766,14.44,0.55
Fully Tempered,5,2.84,2.9,0.98,2.89,10.13,4,3,0.3,38.53,0.83
Heat-Strengthened,10,2.73,4.98,0.55,2.6,0.57,2,1.3,0.738,7.05,0.55
Fully Tempered,8,2.47,3.46,0.71,2.17,0.89,4,3,0.571,15.2,0.43
Annealed,19,4.93,3.85,1.28,2.68,1.17,1,0.43,0.788,3.4,0.36
Annealed,12,1.31,2.03,0.65,1.14,0.02,1,0.43,0.773,1.47,0.93
Heat-Strengthened,4,1.72,1.64,1.05,2.05,3.34,2,1.3,0.66,6.21,0.43
Fully Tempered,6,2.07,3.94,0.53,2.02,0.85,4,3,0.513,15.75,0.93
Heat-Strengthened,5,3.33,4.79,0.7,2.94,11.8,2,1.3,0.737,7.98,0.43
Annealed,4,1.15,4.44,0.26,0.96,0.12,1,0.43,0.481,2,0.55
Annealed,10,3.78,4.69,0.81,2.31,1.96,1,0.43,0.738,3.13,0.36
Annealed,8,3.73,2.46,1.52,1.94,6.47,1,0.43,0.488,3.98,1
Annealed,16,4.25,1.4,3.04,0.98,1.21,1,0.43,0.803,1.22,0.31
Annealed,19,3.34,2.77,1.21,2.54,0.33,1,0.43,0.8,3.17,0.36
Annealed,10,3.89,3.47,1.12,1.37,1.77,1,0.43,0.733,1.87,0.83
Fully Tempered,12,3.9,2.76,1.41,1.79,1.7,4,3,0.761,9.41,0.93
Annealed,5,1.91,2.3,0.83,0.85,0.77,1,0.43,0.305,2.79,0.36
Laminated,8,3.54,4.76,0.74,1.67,2.1,3.8,2.85,0.325,19.53,0.36
Heat-Strengthened,6,3.95,4.34,0.91,2.08,10.55,2,1.3,0.658,6.32,0.93
Fully Tempered,19,2.04,3.12,0.65,0.85,0.01,4,3,0.759,4.48,0.43
Laminated,8,4.13,2.02,2.04,2.57,15.69,3.8,2.85,0.337,28.98,0.93
Laminated,16,3.84,3.89,0.99,2.73,0.73,3.8,2.85,0.809,12.82,0.31
Laminated,5,3.78,1.73,2.18,1.54,31.56,3.8,2.85,0.785,7.45,0.43
Heat-Strengthened,6,4.9,3.75,1.31,2.27,31.57,2,1.3,0.766,5.93,0.43
Fully Tempered,16,1.82,2.31,0.79,2.55,0.06,4,3,0.725,14.07,0.55
Heat-Strengthened,6,2.35,1.02,2.3,2.32,6.97,2,1.3,0.407,11.4,0.31
Fully Tempered,10,3.51,1.67,2.1,1.55,3.06,4,3,0.715,8.67,0.64
Fully Tempered,5,3.22,4.79,0.67,2.77,9.72,4,3,0.797,13.9,0.64
Fully Tempered,16,2.61,2.69,0.97,0.62,0.05,4,3,0.765,3.24,0.93
Annealed,4,3.91,1.1,3.55,1.25,90.09,1,0.43,0.875,1.43,0.31
Heat-Strengthened,16,1.85,2.48,0.75,2.77,0.06,2,1.3,0.871,6.36,0.55
Fully Tempered,10,4.05,1.42,2.85,0.87,3.58,4,3,0.714,4.87,0.43
Laminated,5,4.16,2.01,2.07,2,51.75,3.8,2.85,0.65,11.69,0.55
Laminated,6,3.46,4.88,0.71,1.68,4.46,3.8,2.85,0.518,12.32,0.31
Laminated,5,1.28,3.82,0.34,2.4,0.26,3.8,2.85,0.794,11.49,0.31
Heat-Strengthened,8,4.29,4.66,0.92,1.61,4.47,2,1.3,0.791,4.07,0.64
Fully Tempered,8,1.06,3.55,0.3,0.59,0.01,4,3,0.683,3.46,0.31
Annealed,4,1.32,3.91,0.34,2.01,0.48,1,0.43,0.416,4.83,0.83
Laminated,16,4.48,3.8,1.18,1.24,0.63,3.8,2.85,0.81,5.82,0.31
Annealed,16,4.3,3.95,1.09,2.72,1.12,1,0.43,0.797,3.41,0.83
Fully Tempered,16,1.3,3.11,0.42,1.32,0.01,4,3,0.738,7.15,0.93
Heat-Strengthened,4,2.41,1.21,1.99,1.59,15.04,2,1.3,0.47,6.77,0.72
Annealed,5,1.66,1.34,1.24,0.74,0.66,1,0.43,0.892,0.83,0.83
Laminated,6,2,2,1,1.28,0.93,3.8,2.85,0.521,9.34,0.55
Heat-Strengthened,4,1.15,2.59,0.44,2.13,0.44,2,1.3,0.513,8.3,0.83
Laminated,4,3.26,2.85,1.14,2.82,34.12,3.8,2.85,0.397,26.99,0.83
Heat-Strengthened,19,1.95,3.08,0.63,2.44,0.03,2,1.3,0.896,5.45,0.93
Heat-Strengthened,10,3.96,3.07,1.29,3,4.7,2,1.3,0.834,7.19,0.36
Annealed,12,2.75,1.79,1.54,0.54,0.22,1,0.43,0.87,0.62,0.64
Fully Tempered,8,3.81,3.42,1.11,2.32,5.45,4,3,0.836,11.1,0.36
Laminated,4,1.32,2.73,0.48,2.97,1.01,3.8,2.85,0.695,16.24,0.93
Fully Tempered,16,4.6,3.32,1.39,1.92,1.24,4,3,0.846,9.08,0.64
Annealed,12,2.53,2.4,1.05,1.37,0.26,1,0.43,0.727,1.88,0.93
Annealed,5,3.78,1.27,2.98,1.18,32.94,1,0.43,0.499,2.36,0.55
Laminated,6,1.51,3.47,0.44,1.84,0.25,3.8,2.85,0.698,10.02,0.43
Fully Tempered,5,3.36,2.62,1.28,2.94,22.36,4,3,0.56,21,0.64
Fully Tempered,19,3.31,3.86,0.86,1.15,0.1,4,3,0.713,6.45,0.64
Annealed,16,4.65,1.4,3.32,0.68,1.2,1,0.43,0.861,0.79,0.43
Heat-Strengthened,6,1.8,2.54,0.71,1.91,0.71,2,1.3,0.426,8.97,0.93
Annealed,19,3.84,4.72,0.81,1.42,0.19,1,0.43,0.885,1.6,0.55
Annealed,10,1.78,3.35,0.53,0.92,0.05,1,0.43,0.798,1.15,0.43
Annealed,5,1.96,2.07,0.95,0.67,0.75,1,0.43,0.482,1.39,0.31
Laminated,6,3,1.84,1.63,3,13.27,3.8,2.85,0.495,23.03,0.43
Fully Tempered,19,3.08,2.01,1.53,1.54,0.22,4,3,0.881,6.99,0.72
Laminated,4,2.47,2.32,1.06,0.82,4.02,3.8,2.85,0.772,4.04,0.36
Fully Tempered,19,4.86,4.24,1.15,2.66,1,4,3,0.807,13.18,0.64
Heat-Strengthened,8,1.32,1.43,0.92,1.81,0.15,2,1.3,0.65,5.57,0.83
Annealed,5,3.66,1.93,1.9,1.56,25.19,1,0.43,0.755,2.07,0.31
Laminated,19,4.5,4.14,1.09,2.54,0.72,3.8,2.85,0.775,12.45,0.72
Heat-Strengthened,16,1.21,1.56,0.78,2.35,0.02,2,1.3,0.761,6.18,1
Fully Tempered,6,3.41,3.58,0.95,0.97,3.31,4,3,0.769,5.05,0.43
Laminated,4,4.58,4.85,0.94,1.7,47.08,3.8,2.85,0.55,11.75,0.36
Heat-Strengthened,5,3.82,2.55,1.5,0.94,12.27,2,1.3,0.715,2.63,0.93
Fully Tempered,19,1.67,3.97,0.42,1.89,0.01,4,3,0.78,9.69,0.31
Fully Tempered,5,1.22,1.93,0.63,1.24,0.22,4,3,0.745,6.66,0.72
Fully Tempered,16,3.42,3.82,0.9,2.62,0.45,4,3,0.819,12.8,0.93
Fully Tempered,8,4.31,1.41,3.06,1.88,19.51,4,3,0.414,18.16,0.83
Fully Tempered,12,4.92,3.95,1.25,1.91,3.2,4,3,0.707,10.81,0.83
Laminated,8,1.75,1.71,1.02,2.8,0.59,3.8,2.85,0.366,29.07,0.83
Annealed,12,1.08,3.88,0.28,0.62,0,1,0.43,0.892,0.7,0.31
Fully Tempered,8,4.07,1.01,4.03,1.58,18.2,4,3,0.417,15.16,0.55
Laminated,16,1.09,4.72,0.23,2.78,0,3.8,2.85,0.727,14.53,0.55
Fully Tempered,16,2.9,1.53,1.9,1.03,0.25,4,3,0.82,5.02,0.93
Heat-Strengthened,10,2.8,3.81,0.73,0.84,0.26,2,1.3,0.759,2.21,0.93
Heat-Strengthened,12,2.95,1.71,1.73,0.51,0.28,2,1.3,0.816,1.25,0.36
Heat-Strengthened,8,3.29,4.46,0.74,1.35,1.35,2,1.3,0.32,8.44,0.43
Annealed,4,2.23,2.79,0.8,1.49,4.03,1,0.43,0.444,3.36,0.31
Fully Tempered,8,3.7,2.89,1.28,0.87,2.15,4,3,0.344,10.12,0.72
Fully Tempered,6,2.4,2.12,1.13,0.85,1.2,4,3,0.827,4.11,0.64
Laminated,10,1.73,4.79,0.36,1.22,0.04,3.8,2.85,0.86,5.39,0.43
Annealed,10,3.11,4.27,0.73,1.77,0.76,1,0.43,0.785,2.25,0.93
Annealed,8,1.57,4.15,0.38,2.49,0.14,1,0.43,0.626,3.98,1
Laminated,4,2.25,2.49,0.9,1.14,3.58,3.8,2.85,0.303,14.3,1
Laminated,4,3.29,4.45,0.74,1.88,15.11,3.8,2.85,0.577,12.38,0.43
Fully Tempered,12,3.92,2.2,1.78,0.75,1.01,4,3,0.895,3.35,0.72
Heat-Strengthened,6,1.43,4.22,0.34,0.72,0.06,2,1.3,0.758,1.9,0.36
Fully Tempered,6,4.55,2.3,1.98,0.68,12.74,4,3,0.754,3.61,0.83
Heat-Strengthened,19,2.27,1.45,1.57,0.82,0.05,2,1.3,0.732,2.24,0.72
Heat-Strengthened,19,2.53,4.3,0.59,0.67,0.02,2,1.3,0.869,1.54,0.83
Laminated,10,3.81,4.36,0.87,2.98,2.81,3.8,2.85,0.78,14.52,0.93
Heat-Strengthened,10,2.07,2.42,0.86,1.16,0.17,2,1.3,0.778,2.98,0.31
Fully Tempered,6,1.57,1.21,1.3,1.57,0.71,4,3,0.333,18.86,0.31
Annealed,10,2.92,2.88,1.01,2.18,1.08,1,0.43,0.744,2.93,0.93
Heat-Strengthened,8,2.75,1.76,1.56,0.96,1.32,2,1.3,0.421,4.56,0.55
Fully Tempered,4,2.2,3.62,0.61,1.04,2.05,4,3,0.515,8.08,0.72
Fully Tempered,8,2.53,3.53,0.72,2.31,1.02,4,3,0.68,13.59,0.93
Laminated,4,2.7,2.82,0.96,1.65,9.49,3.8,2.85,0.374,16.76,0.31
Fully Tempered,19,3.81,2.07,1.84,0.7,0.23,4,3,0.756,3.7,1
Heat-Strengthened,5,1.26,3.19,0.39,2.58,0.32,2,1.3,0.484,10.66,0.55
Fully Tempered,16,1.95,1.7,1.15,2.62,0.11,4,3,0.883,11.87,1
Laminated,19,4.82,3.11,1.55,2.54,1.4,3.8,2.85,0.787,12.26,0.72
Fully Tempered,19,4.48,4.57,0.98,0.61,0.15,4,3,0.734,3.32,0.72
Annealed,12,3.23,4.25,0.76,0.71,0.21,1,0.43,0.846,0.84,0.31
Fully Tempered,16,1.52,1.17,1.3,1.33,0.03,4,3,0.802,6.63,0.72
Fully Tempered,8,4.66,3.54,1.32,1.56,7.93,4,3,0.382,16.34,0.93
Annealed,12,1.68,1.83,0.92,1.37,0.07,1,0.43,0.768,1.78,1
Heat-Strengthened,4,1.37,2.84,0.48,1.89,0.72,2,1.3,0.72,5.25,1
Laminated,16,4.7,1.52,3.09,2.02,3.44,3.8,2.85,0.894,8.59,0.72
Annealed,19,4.13,2.79,1.48,2.24,0.67,1,0.43,0.793,2.82,0.72
Laminated,16,3.18,1.44,2.21,1.74,0.65,3.8,2.85,0.814,8.12,0.64
Laminated,5,1.63,1.12,1.46,2.56,2.52,3.8,2.85,0.591,16.46,0.83
Fully Tempered,8,4.49,4.12,1.09,2.35,8.85,4,3,0.804,11.69,0.64
Heat-Strengthened,16,3.99,3.27,1.22,1.61,0.6,2,1.3,0.763,4.22,0.64
Heat-Strengthened,10,2.87,1.42,2.02,0.63,0.65,2,1.3,0.786,1.6,1
Fully Tempered,19,2.49,2.6,0.96,0.96,0.04,4,3,0.856,4.49,0.93
Laminated,12,3.31,3.4,0.97,2.05,0.82,3.8,2.85,0.859,9.07,0.72
Fully Tempered,8,4.84,2.17,2.23,1.85,19.84,4,3,0.641,11.54,0.43
Heat-Strengthened,10,1.25,4.64,0.27,1.62,0.02,2,1.3,0.831,3.9,0.83
Heat-Strengthened,8,4.96,2.31,2.15,0.62,6.89,2,1.3,0.342,3.63,0.55
Annealed,6,2.25,2.75,0.82,1.09,0.92,1,0.43,0.685,1.59,1
Annealed,16,1.14,1.04,1.1,1.64,0.01,1,0.43,0.758,2.16,0.36
Fully Tempered,6,1.67,3.03,0.55,2.89,0.67,4,3,0.445,25.98,0.55
Heat-Strengthened,16,1.29,3.76,0.34,1.62,0.01,2,1.3,0.835,3.88,0.93
Laminated,5,1.03,1.84,0.56,1.74,0.17,3.8,2.85,0.633,10.45,1
Fully Tempered,12,1.97,4.36,0.45,1.24,0.05,4,3,0.733,6.77,0.72
Heat-Strengthened,19,4.33,1.64,2.64,2.72,1.85,2,1.3,0.833,6.53,0.36
Laminated,12,2.24,4.05,0.55,1.46,0.1,3.8,2.85,0.795,6.98,0.55
Laminated,10,1.84,3.84,0.48,2.92,0.17,3.8,2.85,0.707,15.69,0.31
Heat-Strengthened,6,4.07,1.4,2.91,0.65,12.8,2,1.3,0.465,2.8,0.55
Heat-Strengthened,4,4.42,1.56,2.83,0.86,71.37,2,1.3,0.457,3.76,0.64
Annealed,10,3.22,1.86,1.73,0.51,0.64,1,0.43,0.753,0.68,0.43
Heat-Strengthened,6,1.78,4.14,0.43,0.75,0.16,2,1.3,0.838,1.79,0.43
Fully Tempered,16,1.16,4.89,0.24,0.94,0,4,3,0.867,4.34,0.93
Heat-Strengthened,8,3.08,4.58,0.67,1.91,1.43,2,1.3,0.67,5.7,1
Annealed,12,4.92,3.56,1.38,1.18,2.2,1,0.43,0.72,1.64,0.55
Fully Tempered,8,1.64,1.66,0.99,0.85,0.14,4,3,0.647,5.26,0.55
Heat-Strengthened,6,3.38,2.91,1.16,1.42,5.76,2,1.3,0.892,3.18,0.64
Heat-Strengthened,10,1.51,1.53,0.99,0.61,0.04,2,1.3,0.77,1.58,0.31
Laminated,5,2.45,2.04,1.2,2.53,6.98,3.8,2.85,0.51,18.85,0.43
Annealed,12,1.34,1.4,0.96,0.83,0.02,1,0.43,0.756,1.1,0.55
Annealed,12,2.6,4.2,0.62,2.04,0.25,1,0.43,0.81,2.52,0.31
Laminated,10,3.3,3.87,0.85,2.9,1.74,3.8,2.85,0.843,13.07,0.64
Heat-Strengthened,6,3.22,2.21,1.46,1.66,7.3,2,1.3,0.343,9.68,0.72
Annealed,6,2.87,1.59,1.81,2.44,10.46,1,0.43,0.776,3.14,0.31
Annealed,12,1.78,2.32,0.77,2.35,0.11,1,0.43,0.834,2.82,0.72
Annealed,8,3.19,2.67,1.19,2.2,3.26,1,0.43,0.887,2.48,0.72
Annealed,5,4.64,3.07,1.51,2.56,67.13,1,0.43,0.701,3.65,0.43
Laminated,12,4.89,3.36,1.46,2.75,5.29,3.8,2.85,0.899,11.62,0.72
Fully Tempered,16,1.83,4.47,0.41,0.88,0.01,4,3,0.839,4.2,1
Annealed,5,2.97,1.89,1.57,2.16,15.44,1,0.43,0.33,6.55,0.55
Heat-Strengthened,16,2.06,2.22,0.93,0.68,0.03,2,1.3,0.879,1.55,0.93
Heat-Strengthened,12,4.09,2.92,1.4,0.81,0.88,2,1.3,0.884,1.83,0.36
Fully Tempered,6,3.93,1.26,3.12,2.86,54.42,4,3,0.814,14.05,0.93
